generation,best_score,avg_score,best_params
19,0.7153603593046924,0.7124235084956729,"{'max_depth': 3, 'learning_rate': 0.012170168106441063, 'n_estimators': 240, 'subsample': 0.7931084890297776, 'colsample_bytree': 0.7949643202913129, 'gamma': 0.2610875237936259, 'min_child_weight': 5, 'reg_alpha': 0.7046041656462526, 'reg_lambda': 2.9441790961121006}"
20,0.7153603593046924,0.7130960049263595,"{'max_depth': 3, 'learning_rate': 0.012170168106441063, 'n_estimators': 240, 'subsample': 0.7931084890297776, 'colsample_bytree': 0.7949643202913129, 'gamma': 0.2610875237936259, 'min_child_weight': 5, 'reg_alpha': 0.7046041656462526, 'reg_lambda': 2.9441790961121006}"
21,0.7153691003097993,0.7127145735312062,"{'max_depth': 3, 'learning_rate': 0.014942856623256805, 'n_estimators': 240, 'subsample': 0.8193282204970186, 'colsample_bytree': 0.800034117002962, 'gamma': 0.24520392430009647, 'min_child_weight': 4, 'reg_alpha': 0.675183498821419, 'reg_lambda': 2.5385196745823553}"
22,0.7153691003097993,0.7131503950610671,"{'max_depth': 3, 'learning_rate': 0.014942856623256805, 'n_estimators': 240, 'subsample': 0.8193282204970186, 'colsample_bytree': 0.800034117002962, 'gamma': 0.24520392430009647, 'min_child_weight': 4, 'reg_alpha': 0.675183498821419, 'reg_lambda': 2.5385196745823553}"
23,0.7153994273846511,0.7122206170029893,"{'max_depth': 3, 'learning_rate': 0.015231953741587204, 'n_estimators': 240, 'subsample': 0.8195278104629344, 'colsample_bytree': 0.7868782828278826, 'gamma': 0.31716066577930546, 'min_child_weight': 3, 'reg_alpha': 0.7915301800305804, 'reg_lambda': 2.3816372409230464}"
24,0.7153994273846511,0.7134988090322417,"{'max_depth': 3, 'learning_rate': 0.015231953741587204, 'n_estimators': 240, 'subsample': 0.8195278104629344, 'colsample_bytree': 0.7868782828278826, 'gamma': 0.31716066577930546, 'min_child_weight': 3, 'reg_alpha': 0.7915301800305804, 'reg_lambda': 2.3816372409230464}"
25,0.7153994273846511,0.7134321563201216,"{'max_depth': 3, 'learning_rate': 0.015231953741587204, 'n_estimators': 240, 'subsample': 0.8195278104629344, 'colsample_bytree': 0.7868782828278826, 'gamma': 0.31716066577930546, 'min_child_weight': 3, 'reg_alpha': 0.7915301800305804, 'reg_lambda': 2.3816372409230464}"
26,0.7154584354465754,0.7130921667704542,"{'max_depth': 3, 'learning_rate': 0.015052915194066482, 'n_estimators': 240, 'subsample': 0.8192980320899117, 'colsample_bytree': 0.78623038977171, 'gamma': 0.318675614253644, 'min_child_weight': 3, 'reg_alpha': 0.7387768149475602, 'reg_lambda': 2.5635367534691893}"
27,0.7154584354465754,0.7134752332794682,"{'max_depth': 3, 'learning_rate': 0.015052915194066482, 'n_estimators': 240, 'subsample': 0.8192980320899117, 'colsample_bytree': 0.78623038977171, 'gamma': 0.318675614253644, 'min_child_weight': 3, 'reg_alpha': 0.7387768149475602, 'reg_lambda': 2.5635367534691893}"
28,0.7154857391138728,0.7136774065477838,"{'max_depth': 3, 'learning_rate': 0.015743435718674082, 'n_estimators': 240, 'subsample': 0.8190690321948256, 'colsample_bytree': 0.7915481938029204, 'gamma': 0.12226439967396749, 'min_child_weight': 4, 'reg_alpha': 0.6920600241854735, 'reg_lambda': 2.5415337556428956}"
29,0.715506617458872,0.7140908021776344,"{'max_depth': 3, 'learning_rate': 0.015463620372069482, 'n_estimators': 240, 'subsample': 0.8190446893665291, 'colsample_bytree': 0.7924529261691571, 'gamma': 0.3599180300663677, 'min_child_weight': 5, 'reg_alpha': 0.8109991899447969, 'reg_lambda': 2.221997824187013}"
30,0.715506617458872,0.7141033809619998,"{'max_depth': 3, 'learning_rate': 0.015463620372069482, 'n_estimators': 240, 'subsample': 0.8190446893665291, 'colsample_bytree': 0.7924529261691571, 'gamma': 0.3599180300663677, 'min_child_weight': 5, 'reg_alpha': 0.8109991899447969, 'reg_lambda': 2.221997824187013}"
31,0.7155452958717234,0.713642218361821,"{'max_depth': 3, 'learning_rate': 0.015709897913427456, 'n_estimators': 240, 'subsample': 0.8190464273721587, 'colsample_bytree': 0.7777068048987901, 'gamma': 0.0379638254905689, 'min_child_weight': 3, 'reg_alpha': 0.722753214316229, 'reg_lambda': 2.7182330142612}"
32,0.7155452958717234,0.7141664555954337,"{'max_depth': 3, 'learning_rate': 0.015709897913427456, 'n_estimators': 240, 'subsample': 0.8190464273721587, 'colsample_bytree': 0.7777068048987901, 'gamma': 0.0379638254905689, 'min_child_weight': 3, 'reg_alpha': 0.722753214316229, 'reg_lambda': 2.7182330142612}"
33,0.7155452958717234,0.7139515648993823,"{'max_depth': 3, 'learning_rate': 0.015709897913427456, 'n_estimators': 240, 'subsample': 0.8190464273721587, 'colsample_bytree': 0.7777068048987901, 'gamma': 0.0379638254905689, 'min_child_weight': 3, 'reg_alpha': 0.722753214316229, 'reg_lambda': 2.7182330142612}"
34,0.7155452958717234,0.7135126612794025,"{'max_depth': 3, 'learning_rate': 0.015709897913427456, 'n_estimators': 240, 'subsample': 0.8190464273721587, 'colsample_bytree': 0.7777068048987901, 'gamma': 0.0379638254905689, 'min_child_weight': 3, 'reg_alpha': 0.722753214316229, 'reg_lambda': 2.7182330142612}"
35,0.7156017743524272,0.7142484042852967,"{'max_depth': 3, 'learning_rate': 0.015320853332275059, 'n_estimators': 240, 'subsample': 0.8192774323424399, 'colsample_bytree': 0.7882371591198245, 'gamma': 0.3163409511199969, 'min_child_weight': 3, 'reg_alpha': 0.7431661762667643, 'reg_lambda': 2.6807196692536923}"
36,0.7156017743524272,0.714185807528815,"{'max_depth': 3, 'learning_rate': 0.015320853332275059, 'n_estimators': 240, 'subsample': 0.8192774323424399, 'colsample_bytree': 0.7882371591198245, 'gamma': 0.3163409511199969, 'min_child_weight': 3, 'reg_alpha': 0.7431661762667643, 'reg_lambda': 2.6807196692536923}"
37,0.7156432566944624,0.714102732217416,"{'max_depth': 3, 'learning_rate': 0.015243857236098987, 'n_estimators': 240, 'subsample': 0.8192625772954079, 'colsample_bytree': 0.7795766616119112, 'gamma': 0.208558246208492, 'min_child_weight': 3, 'reg_alpha': 0.7460514664266076, 'reg_lambda': 2.8621456579559457}"
38,0.7157446194319455,0.7142801137344356,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
39,0.7157446194319455,0.7147054399713636,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
40,0.7157446194319455,0.7145940459703027,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
41,0.7157446194319455,0.7145235891493242,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
42,0.7157446194319455,0.7144512370489164,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
43,0.7157446194319455,0.714508862062308,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
44,0.7157446194319455,0.7148856880712019,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
45,0.7157446194319455,0.7145466660491513,"{'max_depth': 3, 'learning_rate': 0.015643512848954124, 'n_estimators': 240, 'subsample': 0.8190530092516282, 'colsample_bytree': 0.7752569708150007, 'gamma': 0.21925883527923984, 'min_child_weight': 3, 'reg_alpha': 0.7322258150974625, 'reg_lambda': 2.681881098746628}"
46,0.715800658955908,0.7151754042726488,"{'max_depth': 3, 'learning_rate': 0.015337544540264227, 'n_estimators': 240, 'subsample': 0.8192128411648433, 'colsample_bytree': 0.7826880590673624, 'gamma': 0.32534153265934246, 'min_child_weight': 3, 'reg_alpha': 0.7478253275322543, 'reg_lambda': 2.6552030368138135}"
47,0.7158028593195723,0.7152415808701537,"{'max_depth': 3, 'learning_rate': 0.015642926180689107, 'n_estimators': 240, 'subsample': 0.8190741671432391, 'colsample_bytree': 0.7758362872389173, 'gamma': 0.10152621338713945, 'min_child_weight': 3, 'reg_alpha': 0.7390024295218836, 'reg_lambda': 2.717951391430659}"
48,0.7158028593195723,0.7153080774968827,"{'max_depth': 3, 'learning_rate': 0.015642926180689107, 'n_estimators': 240, 'subsample': 0.8190741671432391, 'colsample_bytree': 0.7758362872389173, 'gamma': 0.10152621338713945, 'min_child_weight': 3, 'reg_alpha': 0.7390024295218836, 'reg_lambda': 2.717951391430659}"
49,0.7158427997330548,0.7151334341213351,"{'max_depth': 3, 'learning_rate': 0.01564086796981775, 'n_estimators': 240, 'subsample': 0.8190708689672896, 'colsample_bytree': 0.7769285508808368, 'gamma': 0.19255358870653566, 'min_child_weight': 3, 'reg_alpha': 0.7218771767645121, 'reg_lambda': 2.721965061289133}"
