iteration,best_score,avg_score
0,0.7148142580589482,0.7029583709980539
1,0.7172060040726257,0.7117546104407722
2,0.7172060040726257,0.7144992947862355
3,0.7172060040726257,0.7156285019510017
4,0.7172060040726257,0.7160586261447596
5,0.7172060040726257,0.716329889398401
6,0.7173047823592957,0.7164671431424292
7,0.7173047823592957,0.7165602538961752
8,0.7176938765906602,0.7167982978584367
9,0.7176938765906602,0.7168495273961087
10,0.7176938765906602,0.7169856645284265
11,0.7176938765906602,0.7170415279116967
12,0.7176938765906602,0.717066501341794
13,0.7176938765906602,0.7171377998824737
14,0.7176938765906602,0.7171852980398473
15,0.717708494222139,0.7172385193282325
16,0.717875839039771,0.7173038408032859
17,0.717875839039771,0.7173515642979867
18,0.717875839039771,0.7174154496157021
19,0.717917156773028,0.717460631315273
20,0.717917156773028,0.7174609738937298
21,0.7179886313924004,0.7174741836706604
22,0.7180696151911768,0.7174907337967923
23,0.7180696151911768,0.7175061629092466
24,0.718138066402995,0.7175669180252006
25,0.718138066402995,0.7175787135926303
26,0.718138066402995,0.7176079366726782
27,0.718219659347249,0.7176366436065578
28,0.718219659347249,0.7177072863471061
29,0.718219659347249,0.717725255797701
30,0.718219659347249,0.7177442356857942
31,0.718219659347249,0.7177716163875199
32,0.718219659347249,0.7177854026671705
33,0.718219659347249,0.7177881734576002
34,0.718219659347249,0.7178121843603432
35,0.718219659347249,0.7178230096349765
36,0.718219659347249,0.7178440222089792
37,0.718219659347249,0.717866789741953
38,0.718219659347249,0.7178796441375219
39,0.718219659347249,0.7178796441375219
40,0.7182317966871414,0.7178884602240714
41,0.7182317966871414,0.7179230116065618
42,0.7182317966871414,0.7179385380272937
43,0.7182317966871414,0.7179385380272937
44,0.7182317966871414,0.7179579447202183
45,0.7182317966871414,0.7179579447202183
46,0.7182393249812514,0.7179746686000603
47,0.7182393249812514,0.7179915243529231
48,0.7182393249812514,0.7179915243529231
49,0.7182393249812514,0.7180055398138724
